Level,Date and Time,Source,Event ID,Task Category,Details
Information,11/12/2024 18:16,Microsoft-Windows-Sysmon,11,File created (rule: FileCreate),"File created:
RuleName: -
UtcTime: 2024-11-13 02:16:19.432
ProcessGuid: {71bacef4-0bf1-6734-d727-000000001400}
ProcessId: 20388
Image: C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell.exe
TargetFilename: C:\Windows\SystemTemp\__PSScriptPolicyTest_hstcue1x.et2.ps1
CreationUtcTime: 2024-11-13 02:16:19.432
User: NT AUTHORITY\SYSTEM"
Information,11/12/2024 18:16,Microsoft-Windows-Sysmon,11,File created (rule: FileCreate),"File created:
RuleName: -
UtcTime: 2024-11-13 02:16:18.249
ProcessGuid: {71bacef4-0bf1-6734-d727-000000001400}
ProcessId: 20388
Image: C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell.exe
TargetFilename: C:\Windows\SystemTemp\__PSScriptPolicyTest_515032yh.32k.ps1
CreationUtcTime: 2024-11-13 02:16:18.249
User: NT AUTHORITY\SYSTEM"
Information,11/12/2024 18:16,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2024-11-13 02:16:17.913
ProcessGuid: {71bacef4-0bf1-6734-d727-000000001400}
ProcessId: 20388
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.22621.3085 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: ""C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell.exe"" Compress-Archive -Force -Path 'C:\ProgramData\ASUS\GlideX\log\GlideX_2024_11_11_00001.etl' -DestinationPath 'C:\ProgramData\ASUS\GlideX\log\GlideX_2024_11_11_00001.etl.zip'
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {71bacef4-7319-6725-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=9D8E30DAF21108092D5980C931876B7E,SHA256=3247BCFD60F6DD25F34CB74B5889AB10EF1B3EC72B4D4B3D95B5B25B534560B8,IMPHASH=AFACF6DC9041114B198160AAB4D0AE77
ParentProcessGuid: {71bacef4-731a-6725-6e00-000000001400}
ParentProcessId: 5376
ParentImage: C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe
ParentCommandLine: ""C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe""
ParentUser: NT AUTHORITY\SYSTEM"
Information,11/12/2024 18:16,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2024-11-13 02:16:17.792
ProcessGuid: {71bacef4-0bf1-6734-d527-000000001400}
ProcessId: 23360
Image: C:\Windows\System32\logman.exe
FileVersion: 10.0.22621.1 (WinBuild.160101.0800)
Description: Performance Log Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: Logman.exe
CommandLine: ""C:\Windows\System32\logman.exe"" stop ""GlideX_TraceSession"" -ets
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {71bacef4-7319-6725-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7535205877CD1B74A9D5CFF22456E6BD,SHA256=3638EC21028FC0C08237FB99311446D58CBAF5507F2A8198E7A82619CBD001A2,IMPHASH=EB3FED89E97C57F1B41AE544CC3CA475
ParentProcessGuid: {71bacef4-731a-6725-6e00-000000001400}
ParentProcessId: 5376
ParentImage: C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe
ParentCommandLine: ""C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe""
ParentUser: NT AUTHORITY\SYSTEM"
Information,11/12/2024 18:16,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2024-11-13 02:16:17.655
ProcessGuid: {71bacef4-0bf1-6734-d327-000000001400}
ProcessId: 6776
Image: C:\Windows\System32\logman.exe
FileVersion: 10.0.22621.1 (WinBuild.160101.0800)
Description: Performance Log Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: Logman.exe
CommandLine: ""C:\Windows\System32\logman.exe"" delete ""GlideXInput_TraceSession""
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {71bacef4-7319-6725-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7535205877CD1B74A9D5CFF22456E6BD,SHA256=3638EC21028FC0C08237FB99311446D58CBAF5507F2A8198E7A82619CBD001A2,IMPHASH=EB3FED89E97C57F1B41AE544CC3CA475
ParentProcessGuid: {71bacef4-731a-6725-6e00-000000001400}
ParentProcessId: 5376
ParentImage: C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe
ParentCommandLine: ""C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe""
ParentUser: NT AUTHORITY\SYSTEM"
Information,11/12/2024 18:16,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2024-11-13 02:16:17.539
ProcessGuid: {71bacef4-0bf1-6734-d127-000000001400}
ProcessId: 25932
Image: C:\Windows\System32\logman.exe
FileVersion: 10.0.22621.1 (WinBuild.160101.0800)
Description: Performance Log Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: Logman.exe
CommandLine: ""C:\Windows\System32\logman.exe"" delete ""GlideXPen_TraceSession""
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {71bacef4-7319-6725-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7535205877CD1B74A9D5CFF22456E6BD,SHA256=3638EC21028FC0C08237FB99311446D58CBAF5507F2A8198E7A82619CBD001A2,IMPHASH=EB3FED89E97C57F1B41AE544CC3CA475
ParentProcessGuid: {71bacef4-731a-6725-6e00-000000001400}
ParentProcessId: 5376
ParentImage: C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe
ParentCommandLine: ""C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe""
ParentUser: NT AUTHORITY\SYSTEM"
Information,11/12/2024 18:16,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2024-11-13 02:16:17.427
ProcessGuid: {71bacef4-0bf1-6734-cf27-000000001400}
ProcessId: 7712
Image: C:\Windows\System32\logman.exe
FileVersion: 10.0.22621.1 (WinBuild.160101.0800)
Description: Performance Log Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: Logman.exe
CommandLine: ""C:\Windows\System32\logman.exe"" delete ""AsusGlideX""
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {71bacef4-7319-6725-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7535205877CD1B74A9D5CFF22456E6BD,SHA256=3638EC21028FC0C08237FB99311446D58CBAF5507F2A8198E7A82619CBD001A2,IMPHASH=EB3FED89E97C57F1B41AE544CC3CA475
ParentProcessGuid: {71bacef4-731a-6725-6e00-000000001400}
ParentProcessId: 5376
ParentImage: C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe
ParentCommandLine: ""C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe""
ParentUser: NT AUTHORITY\SYSTEM"
Information,11/12/2024 18:16,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2024-11-13 02:16:17.306
ProcessGuid: {71bacef4-0bf1-6734-cd27-000000001400}
ProcessId: 27416
Image: C:\Windows\System32\logman.exe
FileVersion: 10.0.22621.1 (WinBuild.160101.0800)
Description: Performance Log Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: Logman.exe
CommandLine: ""C:\Windows\System32\logman.exe"" delete ""GlideX""
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {71bacef4-7319-6725-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7535205877CD1B74A9D5CFF22456E6BD,SHA256=3638EC21028FC0C08237FB99311446D58CBAF5507F2A8198E7A82619CBD001A2,IMPHASH=EB3FED89E97C57F1B41AE544CC3CA475
ParentProcessGuid: {71bacef4-731a-6725-6e00-000000001400}
ParentProcessId: 5376
ParentImage: C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe
ParentCommandLine: ""C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe""
ParentUser: NT AUTHORITY\SYSTEM"
Information,11/12/2024 18:16,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2024-11-13 02:16:17.186
ProcessGuid: {71bacef4-0bf1-6734-cb27-000000001400}
ProcessId: 21684
Image: C:\Windows\System32\logman.exe
FileVersion: 10.0.22621.1 (WinBuild.160101.0800)
Description: Performance Log Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: Logman.exe
CommandLine: ""C:\Windows\System32\logman.exe"" stop ""GlideXInput_TraceSession"" -ets
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {71bacef4-7319-6725-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7535205877CD1B74A9D5CFF22456E6BD,SHA256=3638EC21028FC0C08237FB99311446D58CBAF5507F2A8198E7A82619CBD001A2,IMPHASH=EB3FED89E97C57F1B41AE544CC3CA475
ParentProcessGuid: {71bacef4-731a-6725-6e00-000000001400}
ParentProcessId: 5376
ParentImage: C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe
ParentCommandLine: ""C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe""
ParentUser: NT AUTHORITY\SYSTEM"
Information,11/12/2024 18:16,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2024-11-13 02:16:17.057
ProcessGuid: {71bacef4-0bf1-6734-c927-000000001400}
ProcessId: 1664
Image: C:\Windows\System32\logman.exe
FileVersion: 10.0.22621.1 (WinBuild.160101.0800)
Description: Performance Log Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: Logman.exe
CommandLine: ""C:\Windows\System32\logman.exe"" stop ""GlideXPen_TraceSession"" -ets
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {71bacef4-7319-6725-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7535205877CD1B74A9D5CFF22456E6BD,SHA256=3638EC21028FC0C08237FB99311446D58CBAF5507F2A8198E7A82619CBD001A2,IMPHASH=EB3FED89E97C57F1B41AE544CC3CA475
ParentProcessGuid: {71bacef4-731a-6725-6e00-000000001400}
ParentProcessId: 5376
ParentImage: C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe
ParentCommandLine: ""C:\Program Files\ASUS\GlideX\GlideXServiceExt.exe""
ParentUser: NT AUTHORITY\SYSTEM"
